Feature_Name,Feature_Type,Feature_Index
Sex,clinical,0
Age,clinical,1
BMI,clinical,2
Benign_thyroid_lesions,clinical,3
Multifocal,clinical,4
Tumor_size,clinical,5
Infiltrated_the_adjacent_tissue,clinical,6
Number_of_metastatic_lymph_nodes,clinical,7
T_stage,clinical,8
WBC,clinical,9
HGB,clinical,10
MONO,clinical,11
NE,clinical,12
BASO,clinical,13
NLR,clinical,14
SII,clinical,15
TG,clinical,16
TGAb,clinical,17
TPOAb,clinical,18
GLU,clinical,19
iTED_firstorder_10Percentile,iTED,20
iTED_firstorder_Entropy,iTED,21
iTED_firstorder_Kurtosis,iTED,22
iTED_firstorder_Median,iTED,23
iTED_firstorder_Range,iTED,24
iTED_firstorder_Uniformity,iTED,25
iTED_firstorder_Variance,iTED,26
iTED_glcm_Correlation,iTED,27
iTED_glcm_Id,iTED,28
iTED_glrlm_GrayLevelNonUniformityNormalized,iTED,29
iTED_glrlm_ShortRunHighGrayLevelEmphasis,iTED,30
iTED_gldm_DependenceEntropy,iTED,31
iTED_gldm_DependenceVariance,iTED,32
iTED_gldm_LargeDependenceEmphasis,iTED,33
iTED_gldm_LargeDependenceLowGrayLevelEmphasis,iTED,34
iTED_gldm_SmallDependenceEmphasis,iTED,35
iTED_gldm_SmallDependenceLowGrayLevelEmphasis,iTED,36
iTED_glszm_LargeAreaEmphasis,iTED,37
iTED_ngtdm_Coarseness,iTED,38
iTED_ngtdm_Contrast,iTED,39
